
Log started on 2024-11-30 14:14:13.257298
════════════════════════════════════════════════════════════════════════════════
Starting TCP Port Scan
────────────────────────────────────────────────────────────────────────────────
[INFO] [2024-11-30 14:14:03] Starting scan of 1 hosts, ports 1-1000
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:1
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:2
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:3
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:4
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:5
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:6
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:7
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:8
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:9
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:10
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:11
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:12
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:13
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:14
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:15
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:16
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:17
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:18
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:19
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:20
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:21
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:22
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:23
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:24
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:25
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:26
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:27
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:28
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:29
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:30
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:31
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:32
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:33
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:34
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:35
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:36
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:37
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:38
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:39
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:40
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:41
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:42
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:43
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:44
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:45
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:46
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:47
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:48
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:49
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:50
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:51
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:52
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:53
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:54
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:55
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:56
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:57
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:58
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:59
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:60
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:61
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:62
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:63
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:64
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:65
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:66
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:67
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:68
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:69
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:70
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:71
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:72
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:73
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:74
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:75
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:76
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:77
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:78
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:79
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:80
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:81
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:82
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:83
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:84
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:85
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:86
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:87
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:88
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:89
[DEBUG] [2024-11-30 14:14:03] Scanning 127.0.0.1:90
